private_domain,category,rationale
toyhou.se,content_site,"Toyhouse character-art community; live"
theepochtimes.com,content_site,"Epoch Times news site; live"
hentairead.com,adult_content,"Adult manga site (name + network filter interception); user-facing"
apartments.com,content_site,"Apartments.com listings portal; bot wall today (Access Denied)"
dealer.com,adtech_infrastructure,"Cox Automotive digital-marketing/ad platform for dealerships; DDG-listed tracker; appears via dealer-site embeds"
connectebt.com,content_site,"ConnectEBT benefits-balance portal; live; deliberate user visits"
odycdn.com,cdn_api_host,"Odysee video CDN; unambiguous cdn name; dead to probe today"
diply.com,content_site,"Diply viral-content site; live"
slingoarcade.com,content_site,"Slingo Arcade social casino; live"
hometalk.com,content_site,"Hometalk DIY community; live; DDG listing exists but sampled domain is the destination site"
academy.com,content_site,"Academy Sports + Outdoors retail; live"
discordapp.com,content_site,"Discord legacy domain (redirects to discord.com, same operation); panel visits = Discord web app/CDN use"
key.com,content_site,"KeyBank retail banking site; blocks automated probes (dead here, site_unreachable in 2025 scan) - bot defense, not death"
express.com,content_site,"Express retail; bot wall today (Access Denied)"
lr-in.com,adtech_infrastructure,"DDG-listed tracker endpoint; ingest-style name (lr-in); dead today, never HA-measured"
saksoff5th.com,content_site,"Saks Off 5th retail; Site Offline interstitial today = bot defense on a live retailer"
xlviiirdr.com,adtech_infrastructure,"DDG-listed; unambiguous redirector name morphology (rdr); network-filtered from probe vantage"
cricketwireless.com,content_site,"Cricket Wireless carrier site; live"
igodigital.com,adtech_infrastructure,"DDG categories: Ad Motivated Tracking, Advertising, Analytics; Salesforce predictive-personalization endpoint; dead today"
elfcosmetics.com,content_site,"e.l.f. Cosmetics retail; live"
remotasks.com,content_site,"Remotasks gig-work platform; live"
adoptapet.com,content_site,"Adopt a Pet listings; live"
eatthis.com,content_site,"Eat This Not That content site; live"
sparrow.org,content_site,"Sparrow hospital (now UofM Health Sparrow; same-operation redirect); live"
quordle.com,content_site,"Quordle word game (acquired by Merriam-Webster; same-operation redirect); live"
seekingcrush.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; dating-lander name uncorroborated"
metlife.com,content_site,"MetLife insurance; live; WB-2022 title identical"
inmoment.com,content_site,"InMoment customer-experience survey platform; panelists reach hosted feedback surveys deliberately; live corporate site"
nextmillmedia.com,adtech_infrastructure,"Next Millennium Media ad network (DDG owner); dead today"
tp88trk.com,adtech_infrastructure,"WB-2022 title: Performance Marketing Platform; unambiguous trk name; DDG-listed"
plateau.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; generic word name uninformative"
chipotle.com,content_site,"Chipotle restaurant chain; live"
lifewayequipa.com,content_site,"Lifeway EQUIPA (Spanish-language church ministry resources); live"
medscape.com,content_site,"Medscape medical news (WebMD); live; DDG listing reflects WebMD trackers, sampled domain is the destination site"
stylitics.com,adtech_infrastructure,"Stylitics retail merchandising/recommendation widget platform embedded on retailer sites; DDG-listed; WB title confirms"
blidz.com,content_site,"Blidz social-shopping app site; live"
miqcommerce.com,adtech_infrastructure,"MiQ programmatic-advertising commerce endpoint; DDG-listed; dead today"
clearvoicesurveysmail.com,adtech_infrastructure,"Email click-redirect domain for ClearVoice Surveys panel mailings; redirect plumbing, not a destination; dead today"
icbf-congress.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing"
tyt.com,content_site,"The Young Turks news/commentary; live"
heraldtimesonline.com,content_site,"Bloomington IN Herald-Times local news; live"
pocket-lint.com,content_site,"Pocket-lint tech reviews; live"
schnellresearch.com,content_site,"Schnell Research market-research company site; live; WB-2022 title matches"
theblacksphere.net,content_site,"The Black Sphere political blog; live"
doshopify.com,content_site,"WB-2022 title: Doshopify - All About Sharing Knowledge (blog); live but blank title today"
ng.mil,content_site,"US National Guard official site; .mil blocks external probes (dead here) but a government content site"
redfin.com,content_site,"Redfin real-estate portal; live"
redgifs.com,adult_content,"RedGIFs adult GIF host; DDG-listed; network-filtered from probe vantage"
utrgv.edu,content_site,"University of Texas Rio Grande Valley; live"
salsalabs.org,cdn_api_host,"Salsa Labs hosted advocacy/donation pages for nonprofit clients (white-label app host); DDG-listed; dead today"
marcos.com,content_site,"Marco's Pizza ordering site; live"
omnigba.com,unknown,"Live but blank title; no WB capture, not HA-measured, no DDG listing; function unclear"
drinkiq.com,content_site,"Diageo DRINKiQ alcohol-awareness site; live"
sho.com,content_site,"Showtime (redirects to Paramount+ Showtime hub; same operation); live"
mangahere.cc,content_site,"MangaHere scanlation-reading site; user-facing content; network-filtered from probe vantage (piracy category)"
dinosaurized.com,content_site,"Dinosaurized tactical-gear store; live"
box.net,content_site,"Box legacy domain redirecting to box.com (same operation); cloud-storage service"
employedusa.com,content_site,"Employed USA job board; live"
freefilefillableforms.com,content_site,"IRS Free File Fillable Forms; live"
lovemesomeprizes.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; sweepstakes-lander name uncorroborated"
planet7casino.com,content_site,"Planet 7 online casino; live"
zinmanga.com,content_site,"Zin Manga scanlation-reading site; user-facing content; network-filtered from probe vantage (piracy category)"
gp.org,content_site,"US Green Party site; live"
hudsonjeans.com,content_site,"Hudson Jeans retail; live"
indy100.com,content_site,"Indy100 (Independent) news; live"
loudwire.com,content_site,"Loudwire music news; live"
solutionhealth.org,content_site,"SolutionHealth NH health system; live"
steepandcheap.com,content_site,"Steep & Cheap (Backcountry) outlet store; live"
angelsdateone.ru,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; .ru dating-lander name uncorroborated"
webconsultas.com,content_site,"Webconsultas Spanish health magazine; HA-measured 2022; Sitio Cerrado (closed) notice today"
pcfinancial.ca,content_site,"PC Financial Canadian bank; dead to probe (geo/bot blocking); recognizable brand"
defense.gov,content_site,"US Department of Defense; 403 bot wall today (Access Denied)"
imaginepay.com,content_site,"ImaginePay patient-payment portal; live; deliberate user visits"
tkconstructors.com,content_site,"TK Constructors home builder; live"
booksrelease.com,content_site,"Book-release-dates content site; HA-measured 2022 corroborates a functioning site; unreachable today"
findfocusgroups.com,content_site,"FindFocusGroups paid-focus-group directory; live"
hitpredictor.com,content_site,"HitPredictor (iHeartMedia) music-rating panel site; recognizable brand; dead today"
mobiletime.net,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; generic name uninformative"
nm.com,content_site,"Northwestern Mutual (redirects to northwesternmutual.com; same operation)"
opendoorsusa.org,content_site,"Open Doors US nonprofit (renamed opendoorsus.org; same-operation redirect); live"
pressidium.com,content_site,"Pressidium managed WordPress hosting company site; live corporate site"
codementor.io,content_site,"Codementor developer-mentoring marketplace; live"
froghollow.com,unknown,"Cloudflare DNS-error interstitial today; no WB capture, not HA-measured; function unclear"
il.gov,content_site,"State of Illinois government domain; 401 at apex today but HA-measured 2022; agency subdomain visits"
contactscart.com,content_site,"ContactsCart contact-lens store; live"
massagetherapy.com,content_site,"ABMP massage-therapy information site; live"
rpggeek.com,content_site,"RPGGeek tabletop community; live"
sweepswinner.com,content_site,"Sweepstakes site; HA-measured 2022 corroborates a functioning site; dead today"
allthingsstone.com,content_site,"All Things Stone (countertops company); live"
developmentencyclopaedia.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; content-farm name uncorroborated"
greatparks.org,content_site,"Great Parks of Hamilton County OH; live"
insboys.com,unknown,"Live today as a Chinese gambling page (domain likely repurposed); no evidence of June-2022 function"
justcreative.com,content_site,"Just Creative design blog/agency; live"
linkcdn.to,cdn_api_host,"Unambiguous link/CDN name morphology; dead today, no other evidence"
outlawkitchens.com,content_site,"Outlaw Kitchens (small business); live 200 at own domain"
researchamericainc.com,content_site,"Research America market-research company site; live"
thisdayinaviation.com,content_site,"This Day in Aviation history site; live; HA-measured 2022"
antitpd.com,unknown,"404 today; no WB capture, not HA-measured, no DDG listing; opaque name"
equityapartments.com,content_site,"Equity Residential apartments site; live"
fybelle.com,unknown,"Live but blank title; no WB capture, not HA-measured, no DDG listing; function unclear"
gotodobbs.com,content_site,"Dobbs Tire & Auto Centers; live"
macaronigrill.com,content_site,"Romano's Macaroni Grill restaurant; live"
nordicneedle.net,content_site,"Nordic Needle needlework retailer in the panel era; page today shows Indonesian gambling spam (domain since repurposed)"
pomopizzeria.com,content_site,"POMO Pizzeria restaurant; live"
pridewaves.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing"
riverfoodpantry.org,content_site,"River Food Pantry nonprofit; live"
spreadthefaithstore.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; store-sounding name uncorroborated"
surgentcpe.com,content_site,"Surgent CPE courses for accountants; live"
transfermarkt.com,content_site,"Transfermarkt football data site; live"
camscape.com,content_site,"Camscape live travel webcams directory; live"
cartermario.com,content_site,"Carter Mario injury law firm; live"
dakine.com,content_site,"Dakine outdoor-gear retail; live; original failure was scraper-side network error"
digitach.net,unknown,"Live today with Chinese sports-data title (likely repurposed); no evidence of June-2022 function"
entitlementopposition.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; political-mailer name uncorroborated"
flxfy-host01.com,cdn_api_host,"Numbered-host CDN name morphology (flxfy-host01); network-filtered from probe vantage; embedded media host pattern"
fontsgeek.com,content_site,"FontsGeek free-font download site; live"
foreverstampshop.com,content_site,"Stamp e-commerce storefront (USPSFASTSTAMPS title; likely counterfeit-stamp shop, still a user-facing store); live"
ganbino.com,adtech_infrastructure,"Probe intermittently redirects into corplusi.com match-#### affiliate offer feed; redirect-lander plumbing, not a destination"
hellotds.com,content_site,"TDS Telecom customer site; live"
highvoltagedetox.com,content_site,"High Voltage Detox product store; live"
hpinstantink.com,content_site,"HP Instant Ink service portal (redirects into hpconnected.com; same operation); deliberate user visits"
intuit.me,adtech_infrastructure,"Bitly-powered branded short-link domain for Intuit marketing; redirect plumbing, not a destination"
legionfarm.com,content_site,"Legionfarm game-boosting service (now LFCarry; same-operation redirect); live"
lendtra.com,parked_or_forsale,"For-sale lander at Atom.com domain marketplace; no WB capture, not HA-measured; no evidence of substantive 2022 content"
mountzionfinancing.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing"
mycreditcard.mobi,content_site,"Continental Finance credit-card account/payment portal (recognizable service); dead today"
mytupperware.com,content_site,"Tupperware consultant/customer portal; recognizable brand (company since collapsed); dead today"
numberle.org,content_site,"Numberle daily math game; live"
outdoorelement.com,content_site,"Outdoor Element gear store; live"
poprtb.com,adtech_infrastructure,"PopRTB - Redefining online advertising (own title); RTB pop-ad network; DDG-listed"
pyyodebts.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; debt-lander name uncorroborated"
seedsman.com,content_site,"Seedsman cannabis-seed retailer; live"
sendmesamples.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; free-samples-lander name uncorroborated"
starmotorcars.com,content_site,"Star Motor Cars Houston dealership (recognizable real business); dead to probe today"
townhallburgerandbeer.com,content_site,"Town Hall Burger and Beer NC restaurant (real, since closed); dead today"
treatstream.com,content_site,"TreatStream site; live with own branding"
vertiv.com,content_site,"Vertiv digital-infrastructure company; live"
videochums.com,content_site,"Video Chums game reviews; live"
yrrut.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; opaque name"
zeteo316.com,content_site,"Zeteo 3:16 ministry site; live"
billybeezus.co,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; opaque name"
howoldamicalc.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; calculator-widget name uncorroborated"
letstravelfamily.com,content_site,"Family travel blog; live"
officesepot.co,dead,"Dead today; Office Depot typosquat name with no WB/HA/DDG evidence of what it served"
posnet.us,content_site,"Posnet company site; live with own branding"
protonpuredirect.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; direct-response-offer name uncorroborated"
